Punktnummer,X_diff,Y_diff,Z_diff
PWS01,0.001,-0.0,-0.0
PWS02,0.0,0.0,-0.0
PWS03,0.0,0.001,0.0
PWS04,0.0,0.0,0.0
PWS05,0.0,0.001,0.0
PWS10,0.0,0.001,-0.0
PWS11,0.001,0.0,-0.0
PW01,0.001,-0.0,-0.001
PW02,0.0,-0.0,-0.0
PW03,0.0,-0.0,-0.0
PW04,0.0,-0.001,-0.001
PW05,0.001,-0.001,-0.0
PW06,0.0,-0.0,-0.0
PW07,-0.0,-0.0,0.0
PW08,0.0,-0.0,-0.001
PW12,0.001,-0.006,0.0
PW13,-0.0,-0.001,-0.001
PW14,-0.005,-0.004,-0.001
KP01,0.0,-0.001,-0.0
KP02,-0.0,0.0,0.0
KP03,0.0,0.0,-0.001
KP04,0.0,-0.0,-0.0
NWS1.1,0.0,0.0,-0.0
NWS1.2,0.0,0.0,-0.0
NWS1.3,0.001,0.0,-0.0
NWS1.4,0.0,-0.0,-0.0
NWS2.1,-0.0,0.0,-0.0
NWS2.2,-0.0,0.0,-0.0
NWS2.3,0.0,0.0,-0.0
NWS2.4,0.0,0.0,-0.001
NWS2.6,0.002,0.001,-0.001
NWS3.1,-0.0,0.0,-0.0
NWS3.2,-0.0,0.0,-0.0
NWS3.3,0.0,0.0,-0.0
NWS3.4,-0.0,0.0,-0.0
NWS4.1,-0.0,-0.001,-0.0
NWS4.2,-0.001,-0.0,-0.0
NWS4.3,-0.001,-0.001,-0.0
NWS4.4,-0.001,-0.001,-0.0
NWS4.5,-0.001,-0.001,-0.0
NWN1.1,0.0,-0.001,0.0
NWN1.2,-0.0,-0.001,-0.0
NWN1.3,0.001,-0.003,0.0
NWN1.4,-0.0,-0.001,-0.0
NWN2.1,-0.001,-0.001,-0.0
NWN2.2,-0.0,-0.001,0.0
NWN2.3,0.0,-0.002,-0.003
NWN2.4,-0.001,-0.001,-0.0
NWN2.5,-0.001,-0.001,0.0
NWN2.6,-0.002,-0.002,-0.005
NWN3.1,-0.001,-0.0,0.0
NWN3.2,-0.001,-0.001,0.0
NWN3.3,-0.001,-0.0,0.0
NWN3.4,-0.001,0.001,-0.0
NWN3.5,-0.001,-0.001,0.0
NWN3.6,-0.0,0.0,-0.0
NWN4.1,-0.001,-0.0,0.0
NWN4.2,-0.001,0.0,0.0
NWN4.3,-0.001,0.001,-0.0
NWN4.4,-0.0,0.001,-0.0
NWN4.5,-0.001,0.001,-0.002
